KEY,ENGLISH,FRENCH,CHINESE,
AECOM PM/CM Flag,AECOM PM/CM Flag,Flag AECOM PM/CM,AECOM PM/CM 标志,
AECOM Project Review Category,AECOM Project Review Category,Catégorie de révision du projet AECOM,AECOM 项目评审类别,
AECOM restricted project,AECOM restricted project,Projet restreint d'AECOM,AECOM受限项目,
AECOM Restricted Project,AECOM Restricted Project,Projet restreint d'AECOM,AECOM 受限项目,
AECOM Service,AECOM Service,Service  d'AECOM,AECOM服务,
AECOM work,AECOM work,Travail d'AECOM,AECOM 工作,
afternoon,afternoon,après-midi,下午,
Aging,Aging,Age ,老化,
Aging buckets,Aging buckets,Fourchettes d'âge,老化桶,
Agreement amount,Agreement amount,Montant de l'accord,协议金额,
All currencies in,All currencies in,Toutes les devises en,所有货币在,
All views,All views,Tous les aperçus,所有观点,
Alternative Delivery Project,Alternative Delivery Project,Livraison alternative du Projet,替代交付项目,
Amount,Amount,Montant,数量,
Amount outstanding,Amount outstanding,Montant restant dû,未付清金额,
Amount paid,Amount paid,Montant payé,支付的金额,
Apply,Apply,Appliquer,申请,
Approved,Approved,Approuvé,得到正式认可的,
Approved backlog,Approved backlog,Backlog Approuvé,批准积压,
Approved budget,Approved budget,Budget approuvé,核定预算,
Approved changes,Approved changes,Modifications approuvées,批准的更改,
Approved contingency budget,Approved contingency budget,Budget de contingence approuvé,核定应急预算,
Approved cost budget,Approved cost budget,Budget de coûts approuvé,批准的成本预算,
Approved cost budget MTD change,Approved cost budget MTD change,Modification des coûts MTD approuvée ,批准的成本预算 MTD 变更,
Approved date,Approved date,Date d’approbation,批准日期,
Approved direct labor budget,Approved direct labor budget,Budget de main-d'œuvre directe approuvé,批准的直接人工预算,
Approved direct labor multiplier,Approved direct labor multiplier,Multiplicateur de main-d'œuvre directe approuvé,批准的直接劳动力乘数,
Approved end date,Approved end date,Date de fin approuvée,批准结束日期,
Approved ETC gross revenue,Approved ETC gross revenue,Recettes brutes ETC approuvées,批准的 ETC 总收入,
Approved ETC net margin,Approved ETC net margin,Marge nette ETC approuvée,核准的ETC净保证金,
Approved ETC total cost,Approved ETC total cost,Coût total ETC approuvé,批准的ETC总成本,
Approved ETC total hours,Approved ETC total hours,Heures totales ETC approuvées,批准的ETC总时数,
Approved flag,Approved flag,Flag approuvé,批准标志,
Approved fringe budget,Approved fringe budget,Budget Fringe approuvé,核准的附加预算,
Approved gross margin budget,Approved gross margin budget,Budget de marge brute approuvé,批准的毛利率预算,
Approved gross margin budget % of GSR,Approved gross margin budget % of GSR,Budget de marge brute approuvé % du GSR,批准的毛利率预算占 GSR 的百分比,
Approved gross margin budget % of NSR,Approved gross margin budget % of NSR,Budget de marge brute approuvé % du NSR,批准的毛利率预算占 NSR 的百分比,
Approved gross margin MTD change,Approved gross margin MTD change,Modification approuvée de la marge brute MTD,批准的毛利率 MTD 变化,
Approved gross margin MTD change % of NSR MTD change,Approved gross margin MTD change % of NSR MTD change,Modification approuvée de la marge brute % de NSR MTD,批准的毛利率 MTD 变化占 NSR MTD 变化的百分比,
Approved hours,Approved hours,Heures approuvées,批准的时间,
Approved hours budget,Approved hours budget,Budget d'heures approuvé,批准的工时预算,
Approved invoice value,Approved invoice value,Valeur de la facture approuvée,批准的发票价值,
Approved labor cost,Approved labor cost,Coût de la main-d'œuvre approuvé,批准的人工成本,
Approved net margin,Approved net margin,Marge nette approuvée,核准净利润,
Approved net margin % of NSR,Approved net margin % of NSR,Marge nette approuvée % de NSR,批准的净利润率占 NSR 的百分比,
Approved net margin MTD change,Approved net margin MTD change,Marge nette approuvée Variation MDT,批准的净利润 MTD 变化,
Approved net margin MTD change % of NSR MTD change,Approved net margin MTD change % of NSR MTD change,Modification approuvée de la marge nette % de NSR MTD,批准的净利润率 MTD 变化占 NSR MTD 变化的百分比,
Approved NSR backlog,Approved NSR backlog,Carnet de commandes NSR approuvé,批准的 NSR 积压,
Approved NSR budget,Approved NSR budget,Budget NSR approuvé,批准的 NSR 预算,
Approved NSR budget MTD change,Approved NSR budget MTD change,Budget NSR approuvé Changement MTD,批准的 NSR 预算 MTD 变更,
Approved ODC budget,Approved ODC budget,Budget approuvé de l'ODC,批准的 ODC 预算,
Approved overhead budget,Approved overhead budget,Budget de frais généraux approuvé,批准的间接费用预算,
Approved overhead budget % of direct labor,Approved overhead budget % of direct labor,Budget de frais généraux approuvé % de la main-d'œuvre directe,批准的间接费用预算占直接人工的百分比,
Approved PO value,Approved PO value,Valeur du bon de commande approuvée,批准的 PO 值,
Approved raw labor cost,Approved raw labor cost,Coût de main-d'œuvre brut approuvé,批准的原始劳动力成本,
Approved revenue budget,Approved revenue budget,Budget de revenus approuvé,批准的收入预算,
Approved revenue budget MTD change,Approved revenue budget MTD change,Budget de revenus approuvé Changement MTD,批准的收入预算 MTD 变更,
Approved salary cost multiplier,Approved salary cost multiplier,Multiplicateur de coût salarial approuvé,批准的工资成本乘数,
Approved start date,Approved start date,Date de début approuvée,批准开始日期,
Approved subs budget,Approved subs budget,Budget des sous-traitants approuvé,批准的子预算,
AR,AR,AR,增强现实,
AR & Unbilled,AR & Unbilled,AR et non facturé,应收账款和未开票,
AR balance,AR balance,Solde AR,应收账款余额,
AR Balance,AR Balance,Solde AR,应收账款余额,
Area,Area,Zone,区域,
Assigned job id,Assigned job id,ID de travail attribué,分配的作业 ID,
Assigned job name,Assigned job name,Nom du travail attribué,分配的工作名称,
Assigned location id,Assigned location id,ID d'emplacement attribué,分配的位置标识,
Assigned manager,Assigned manager,Gestionnaire attitré,指定经理,
Assigned manager id,Assigned manager id,ID de gestionnaire attribué,分配的经理 ID,
Assigned org name,Assigned org name,Nom de l'organisation attribuée,分配的组织名称,
Assigned organization id,Assigned organization id,ID d'organisation attribué,分配的组织 ID,
Assignment id,Assignment id,ID d’affectation,作业编号,
Assignment type,Assignment type,Type d'affectation,分配类型,
Avg cost rate/hr,Avg cost rate/hr,Taux de coût moyen/heure,平均成本率/小时,
Back to top,Back to top,Retour au sommet,回到顶部,
Backlog,Backlog,Arriéré,积压,
Backlog MTD change,Backlog MTD change,Changement MTD du carnet de commandes,积压 MTD 变更,
Balance,Balance,Solde,平衡,
Balance due,Balance due,Solde dû,余额到期,
Balance Due,Balance Due,Solde dû,余额到期,
Baselined funding,Baselined funding,Financement de base,基线资金,
between,In range,Dans la gamme,在范围内,
BIEE,BIEE,BIEE,北京国际电机工程学报,
Bill amount,Bill amount,Montant de la facture,账单金额,
Bill rate,Bill rate,Taux de facturation,账单率,
Bill through date,Bill through date,Date limite de facturation,账单截止日期,
Billable,Billable,Facturable,计费,
Billed,Billed,Facturé,计费,
Billed - ITD,Billed - ITD,Facturé - ITD,计费 - ITD,
Billed - MTD,Billed - MTD,Facturé - MTD,计费 - MTD,
Billed - YTD,Billed - YTD,Facturé - Cumul annuel,计费 - 年初至今,
Billed amount,Billed amount,Montant facturé,计费金额,
Billed AR,Billed AR,AR facturé,计费应收账款,
Billed AR >180,Billed AR >180,AR facturé >180,计费 AR >180,
Billed AR >180 days,Billed AR >180 days,AR facturé >180 jours,计费 AR >180 天,
Billed AR >90,Billed AR >90,AR facturé >90,计费 AR >90,
Billed AR 0-30,Billed AR 0-30,AR Facturé 0-30,计费应收账款 0-30,
Billed AR 121-180 days,Billed AR 121-180 days,AR Facturé  121-180 jours,计费 AR 121-180 天,
Billed AR 31-60,Billed AR 31-60,AR Facturé 31-60,计费 AR 31-60,
Billed AR 31-60 days,Billed AR 31-60 days,AR Facturé 31-60 jours,计费 AR 31-60 天,
Billed AR 61-90,Billed AR 61-90,AR Facturé 61-90,计费 AR 61-90,
Billed AR 61-90 days,Billed AR 61-90 days,AR Facturé 61-90 jours,计费 AR 61-90 天,
Billed AR 91-180,Billed AR 91-180,AR Facturé 91-180,计费应收账款 91-180,
Billed AR 91-180 days,Billed AR 91-180 days,AR Facturé 91-180 jours,计费 AR 91-180 天,
Billed AR current,Billed AR current,Courant AR facturé,计费AR电流,
Billed AR Days - Actuals,Billed AR Days - Actuals,Jours AR facturés - Chiffres réels,计费 AR 天数 - 实际值,
Billed AR-Actual,Billed AR-Actual,AR Facturé-Réel,计费 AR-实际,
Billed hours - ITD,Billed hours - ITD,Heures facturées - ITD,计费时间 - ITD,
Billed ITD,Billed ITD,ITD facturé,计费 ITD,
Billed ITD > ARB,Billed ITD > ARB,ITD facturé > ARB,计费 ITD > ARB,
Billed ITD > FRB,Billed ITD > FRB,ITD facturé > FRB,计费 ITD > FRB,
Billed MTD,Billed MTD,MTD facturé,计费 MTD,
Billing,Billing,Facturation,计费,
Billing hold ?,Billing hold ?,Facturation en Hold?,计费保留？,
Billing multiplier,Billing multiplier,Multiplicateur de facturation,计费乘数,
Budget,Budget,Budget,预算,
Burdened cost,Burdened cost,Coût complet,负担成本,
Business Line,Business Line,Secteur d'activité,事业线,
By supplier,By supplier,Par fournisseur,按供应商,
Update cache,Update cache,update cache,更新缓存,
Cancel,Cancel,Annuler,取消,
Cash,Cash,Cash,现金,
Cash apps - ITD,Cash apps - ITD,App.des encaissements - ITD,现金应用程序 - ITD,
Cash apps - MTD,Cash apps - MTD,App.des encaissements - MTD,现金应用程序 - MTD,
Cash apps - YTD,Cash apps - YTD,App. des encaissements - YTD,现金应用程序 - 年初至今,
Category,Category,Catégorie,类别,
CFO or Delegate,CFO or Delegate,Chef de la direction financière ou délégué,首席财务官或代表,
CFO or Delegate email,CFO or Delegate email,Courriel du Chef de la direction financière ou délégué,首席财务官或代表电子邮件,
Change,Change,Changement,改变,
Changes cost budget,Changes cost budget,Modifie le budget des coûts,变更成本预算,
Changes hours budget,Changes hours budget,Modifie le budget des heures,更改小时预算,
Changes net margin,Changes net margin,Modification de la marge nette,改变净利润,
Changes revenue budget,Changes revenue budget,Modifie le budget des revenus,改变收入预算,
Chinese,Chinese,Chinois,中国人,
City,City,Ville,城市,
Clear filter,Clear filter,Effacer le filtre,清除过滤器,
Click here,Click here,Cliquez ici,点击这里,
Client name,Client name,Nom du client,客户名称,
Completed on,Completed on,Terminé le,完成于,
Configurations,Configurations,Configurations,配置,
Contact name,Contact name,Nom du contact,联系人姓名,
Container name,Container name,Nom du conteneur,容器名称,
contains,Contains,Contient,包含,
Contract type,Contract type,Type de contrat,合同类型,
Contract value,Contract value,Valeur du contrat,合约价值,
Cost,Cost,Coût,成本,
Cost spent (%),Cost spent (%),Coût dépensé (%),花费的成本（%）,
Cost transaction detail,Cost transaction detail,Détail du coût de la transaction,成本交易明细,
Cost transaction detail.,Cost transaction detail.,Détail du coût de la transaction,成本交易明细。,
Cost variance,Cost variance,Écart de coût,成本差异,
Cost variance (CV),Cost variance (CV),Écart de coût (CV),成本差异 (CV),
Costed in week ending,Costed in week ending,Chiffré en fin de semaine,成本在周末结束,
Country province district,Country province district,Province district du pays ,国家省区,
CPI,CPI,CPI,消费物价指数,
CPI & SPI,CPI & SPI,CPI & SPI,消费物价指数及消费物价指数,
Create portfolio,Create portfolio,Créer un portefeuille,创建投资组合,
Create view,Create view,Créer une aperçu,创建视图,
Created by,Created by,Créé par,由...制作,
Created date,Created date,Date de création,创建日期,
Creation date,Creation date,Date de création,创建日期,
Currency,Currency,Devise,货币,
Current,Current,Courant,当前的,
Current FBLR,Current FBLR,FBLR actuel,当前 FBLR,
Current period,Current period,Période actuelle,现时阶段,
Customer,Customer,Client,顾客,
Customer contacts,Customer contacts,Coordonnées clients,客户联系方式,
Customer location,Customer location,Localisation du client,客户所在地,
Customer name,Customer name,Nom du client,顾客姓名,
Customer number,Customer number,Numéro de client,顾客号码,
Customer type,Customer type,Type de client,客户类型,
Dashboard,Dashboard,Tableau de bord,仪表板,
Data quality,Data quality,Qualité des données,数据质量,
Date Format,Date Format,Format de la date,日期格式,
Days outstanding,Days outstanding,Jours restants,优秀天数,
Days Outstanding,Days Outstanding,Jours restants,优秀天数,
Days until escalation,Days until escalation,Jours due jusqu'à escalation,距离升级还有几天,
Decimal symbol,Decimal symbol,Symbole décimal,十进制符号,
Default,Default,Défaut,默认,
Delete,Delete,Supprimer,删除,
Department,Department,Département,部门,
Deputy project manager,Deputy project manager,Gestionnaire de projet adjoint,副项目经理,
Deputy project manager ,Deputy project manager ,Gestionnaire de projet adjoint,副项目经理,
Deputy project manager email,Deputy project manager email,Courriel du chef de projet adjoint,副项目经理邮箱,
Description,Description,Déscription,描述,
Digit grouping symbol,Digit grouping symbol,Symbole de regroupement de Digit,数字分组符号,
Direct labor - ITD,Direct labor - ITD,Main-d’œuvre directe- ITD,直接人工 - ITD,
Direct Labor - ITD,Direct Labor - ITD,Main-d’œuvre directe- ITD,直接人工 - ITD,
Direct labor - MTD,Direct labor - MTD,Main-d’œuvre directe - MTD,直接人工 - MTD,
Direct labor - YTD,Direct labor - YTD,Main-d’œuvre directe  - YTD,直接人工 - 年初至今,
Direct labor hours - ITD,Direct labor hours - ITD,Heure de Main-d’œuvre directe  - ITD,直接工时 - ITD,
Direct labor hours - MTD,Direct labor hours - MTD,Heure de Main-d’œuvre directe  - MTD,直接工时 - MTD,
Direct labor hours - YTD,Direct labor hours - YTD,Heure de Main-d’œuvre directe  - YTD,直接工时 - 年初至今,
Direct labor multiplier,Direct labor multiplier,Multiplicateur de  Main d'oueuvre directe,直接劳动乘数,
Direct labor multiplier - ITD,Direct labor multiplier - ITD,Multiplicateur de  Main d'oueuvre directe-ITD,直接劳动乘数 - ITD,
Direct labor multiplier - MTD,Direct labor multiplier - MTD,Multiplicateur de  Main d'oueuvre directe-MTD,直接劳动乘数 - MTD,
Direct labor multiplier - YTD,Direct labor multiplier - YTD,Multiplicateur de  Main d'oueuvre directe-YTD,直接劳动乘数 - YTD,
Direct labor YTD,Direct labor YTD,Main-d’œuvre directe depuis le début de l'année,年初至今的直接人工,
Distribution rule,Distribution rule,Règle de répartition,分配规则,
District manager,District manager,Chef de district,区域经理,
District manager email,District manager email,Courriel du responsable de district,区域经理邮箱,
does_not_contains,Does not contains,Ne contient pas,不包含,
Download,Download,Télécharger,下载,
Draft bill,Draft bill,Facture Provisoire,法案草案,
Draft bill hours,Draft bill hours,Facture Provisoire,草案小时数,
Due date,Due date,Date d'échéance,到期日,
Duplicate,Duplicate,Dupliquer,复制,
EAC / Forecast,EAC / Forecast,EAC / Prévision,选管会 / 预测,
EACs,EACs,EAC,EACs,
Earned value,Earned value,Valeur acquise,所得价值,
Edit parameters,Edit parameters,Editer les paramètres,编辑参数,
Edit portfolio,Edit portfolio,Editer le portefeuille,编辑投资组合,
Edit view,Edit view,Editer l'aperçu,编辑视图,
Eff end date,Eff end date,Date de fin effective,有效结束日期,
Eff start date,Eff start date,Date de début effective,生效日期,
Elapsed days,Elapsed days,Jours écoulés,经过的天数,
Email,Email,Courriel,电子邮件,
Employee,Employee,Employé,员工,
Employee / Supplier name,Employee / Supplier name,Nom de l'employé/fournisseur,员工/供应商姓名,
Employee / Supplier number,Employee / Supplier number,Numéro d'employé / fournisseur,员工/供应商编号,
Employee classification,Employee classification,Classification de l'employé,员工分类,
End client sector,End client sector,Secteur du client final,终端客户部门,
End Client Sector,End Client Sector,Secteur du client final,终端客户部门,
End date,End date,Date de fin,结束日期,
end_date,End date,Date de fin,结束日期,
end_with,Ends with,Se termine par,以。。结束,
English,English,Anglais,英语,
Enter parameters,Enter parameters,Entrer les paramètres,输入参数,
equal,Equal,Égal,平等的,
Error details,Error details,Détails de l'erreur,错误详情,
Errors,Errors,les erreurs,错误,
Est. collections over contract,Est. collections over contract,Estimation du Recouvrements sur contrat,美东时间。,
Estimate,Estimate,Estimation,估计,
ETC,ETC,ETC,ETC,
ETC Contingency,ETC Contingency,Contingence ETC,ETC应急,
ETC direct labor cost,ETC direct labor cost,Coût de la main-d'œuvre directe -ETC ,ETC直接人工成本,
ETC Fringe cost,ETC Fringe cost,Coût Fringe - ETC,ETC 边缘成本,
ETC gross revenue,ETC gross revenue,Revenu brut ETC,ETC总收入,
ETC net margin,ETC net margin,Marge nette ETC,ETC净保证金,
ETC NSR,ETC NSR,ETC NSR,ETC NSR,
ETC ODC cost,ETC ODC cost,Autres Coût Directs- ETC,ETC ODC成本,
ETC Overhead cost,ETC Overhead cost,Frais généraux- ETC ,ETC 管理费用,
ETC Subs cost,ETC Subs cost,Coût des sous-traitants- ETC,ETC 订阅费用,
ETC Total cost,ETC Total cost,Coût total - ETC,ETC总费用,
EUR (UK) Market Sectors,EUR (UK) Market Sectors,Secteurs du marché EUR (Royaume-Uni),欧元（英国）市场板块,
EUR (UK) Practice Lines,EUR (UK) Practice Lines,Lignes d'activité EUR (Royaume-Uni),欧元（英国）练习线,
evening,evening,soir,晚上,
Event,Event,Événement,事件,
Exit full screen,Exit full screen,Quitter le mode plein écran,退出全屏,
Expenditure / Event category,Expenditure / Event category,Dépense / Catégorie d'événement,支出/事件类别,
Expenditure / Event type,Expenditure / Event type,Dépense / Type d'événement,支出/事件类型,
Expenditure category,Expenditure category,Catégorie de dépenses,支出类别,
Expenditure comment,Expenditure comment,Commentaire sur les dépenses,支出评论,
Expenditure organization,Expenditure organization,Organisation des dépenses,支出组织,
Expenditure type,Expenditure type,Type de dépense,支出类型,
Expense item date,Expense item date,Date de la dépense,费用项目日期,
Expired EAC,Expired EAC,EAC expiré,过期的 EAC,
Expired forecast end date,Expired forecast end date,Date de fin prévisionelle expirée,过期的预测结束日期,
Export data,Export data,Exporter les données,导出数据,
External id,External id,Identifiant externe,外部标识,
Favorites,Favorites,Favoris,收藏夹,
FCAP Subcontract administrator email,FCAP Subcontract administrator email,Couriel de l'administrateur de sous-traitance FCAP,FCAP 分包管理员电子邮件,
Field,Field,Champ,场地,
File name,File name,Nom de fichier,文件名,
File size (KB),File size (KB),Taille du fichier (KB),文件大小 (KB),
Finance Lead,Finance Lead,Gestionnaire à la comptabilité,财务主管,
Finance lead,Finance lead,Gestionnaire à la comptabilité,财务负责人,
Finance lead ,Finance lead ,Gestionnaire à la comptabilité,财务负责人,
Finance lead 2,Finance lead 2,Gestionnaire à la comptabilité 2,财务负责人 2,
Finance lead 2 ,Finance lead 2 ,Gestionnaire à la comptabilité 2,财务负责人 2,
Finance lead 2 email,Finance lead 2 email,Couriel Gestionnaire à la comptabilité 2,财务负责人 2 电子邮件,
Finance lead email,Finance lead email,Couriel Gestionnaire à la comptabilité,财务主管电子邮件,
Financials,Financials,Finances,金融,
Forecast,Forecast,Prévision,预报,
Forecast budget at risk,Forecast budget at risk,Budget prévisionnel à risque,预测预算有风险,
Forecast contingency budget,Forecast contingency budget,Budget prévionnel pour contingence,预测应急预算,
Forecast cost budget,Forecast cost budget,Budget prévisionnel des coûts,预测成本预算,
Forecast cost MTD change,Forecast cost MTD change,Modification prévisionnelle des coûts MTD,预测成本 MTD 变化,
Forecast direct labor budget,Forecast direct labor budget,Budget prévisionnel de main-d'œuvre directe,预测直接人工预算,
Forecast direct labor multiplier,Forecast direct labor multiplier,Multiplicateur prévisionnel de main-d'œuvre directe,预测直接劳动力乘数,
Forecast end date,Forecast end date,Date de fin prévue,预测结束日期,
Forecast ETC gross revenue,Forecast ETC gross revenue,Prévision de revenu brut ETC,预测 ETC 总收入,
Forecast ETC net margin,Forecast ETC net margin,Prévision de la marge nette -ETC,预测ETC净利润,
Forecast ETC total cost,Forecast ETC total cost,Coût total prévisionnel - ETC,预测 ETC 总成本,
Forecast ETC total hours,Forecast ETC total hours,Total prévisionnel des heures- ETC,预测 ETC 总小时数,
Forecast fringe budget,Forecast fringe budget,Budget prévisionnel de Fringe,预测边缘预算,
Forecast gain/loss margin,Forecast gain/loss margin,Marge de gain/perte prévisionnelle,预测损益率,
Forecast gross margin,Forecast gross margin,Marge brute prévisionnelle,预测毛利率,
Forecast gross margin % of GSR,Forecast gross margin % of GSR,Marge brute prévisionnelle % du GSR,预测毛利率 % 金沙江,
Forecast gross margin % of NSR,Forecast gross margin % of NSR,Marge brute prévisionnelle % du NSR,NSR的预测毛利率%,
Forecast gross margin MTD change,Forecast gross margin MTD change,Modification prévisionnelle de la marge brute - MTD,预测毛利率 MTD 变化,
Forecast hours,Forecast hours,Heures prévisionnelles,预报时间,
Forecast hours budget,Forecast hours budget,Budget horaire prévisionnel,预测小时预算,
Forecast labor cost,Forecast labor cost,Coût prévisionnel de la main-d'œuvre,预测人工成本,
Forecast net margin,Forecast net margin,Marge nette prévisionnelle,预测净利润率,
Forecast net margin % of NSR,Forecast net margin % of NSR,Marge nette prévisionnelle % du NSR,NSR 的预测净利润率 %,
Forecast net margin MTD change,Forecast net margin MTD change,Modification prévisionnelle de la marge nette - MTD,预测净利润 MTD 变化,
Forecast NSR budget,Forecast NSR budget,Budget prévisionnel -NSR,预测 NSR 预算,
Forecast NSR MTD change,Forecast NSR MTD change,Modification prévisionnelle du NSR,预测 NSR MTD 变化,
Forecast ODC budget,Forecast ODC budget,Budget prévisionnel -ODC,预测 ODC 预算,
Forecast overhead budget,Forecast overhead budget,Budget prévisionnel - frais généraux,预测间接费用预算,
Forecast overhead budget % of direct labor,Forecast overhead budget % of direct labor,Budget prévisionnel des frais généraux % de la main-d'œuvre directe,预测间接费用预算占直接人工的百分比,
Forecast raw labor cost,Forecast raw labor cost,Coût brut prévisionnel de la main-d'œuvre ,预测原始劳动力成本,
Forecast revenue budget,Forecast revenue budget,Budget prévisionnel des recettes,预测收入预算,
Forecast revenue MTD change,Forecast revenue MTD change,Modification prévisionnelle des recettes MTD,预测收入 MTD 变化,
Forecast revenue to bill,Forecast revenue to bill,Prévision du budget des recettes,预测收入计费,
Forecast salary cost multiplier,Forecast salary cost multiplier,Multiplicateur prévisionnel du coût salarial ,预测工资成本乘数,
Forecast scheduled end date,Forecast scheduled end date,Date de fin prévue,预测预定结束日期,
Forecast start date,Forecast start date,Date de début prévue,预测开始日期,
Forecast subs budget,Forecast subs budget,Budget prévisionnel des sous-traitants,预测子预算,
Formula,Formula,Formule,公式,
French,French,Français,法语,
Fringe,Fringe,Fringe,边缘,
Fringe - ITD,Fringe - ITD,Fringe - ITD,边缘 - ITD,
Fringe - MTD,Fringe - MTD,Fringe - MTD,边缘 - MTD,
Fringe - YTD,Fringe - YTD,Fringe - YTD,边缘 - 年初至今,
From currency,From currency,De la devise,从货币,
From date,From date,A partir de la date,从日期,
From views,From views,De l'aperçu,从意见,
Fte capacity,Fte capacity,Capacité FTE,固定能力,
Full screen,Full screen,Ecran plein,全屏,
full_name,Employee,Employé,员工,
Functional currency,Functional currency,Devise locale,功能货币,
Functional Currency,Functional Currency,Devise locale,功能货币,
Future periods,Future periods,Périodes futures,未来时期,
GL date (of invoice),GL date (of invoice),Date GL (de la facture),总帐日期（发票）,
GL period,GL period,Période GL,GL期间,
GL period (of invoice),GL period (of invoice),Période GL (de la facture),总帐期间（发票）,
GL period name,GL period name,Nom de la période GL,总帐期间名称,
Global business line,Global business line,Ligne d'activité mondiale,全球业务线,
GM - ITD,GM - ITD,GM - ITD,通用汽车 - ITD,
GM - MTD,GM - MTD,GM - MTD,通用汽车-MTD,
GM - YTD,GM - YTD,GM – YTD,通用汽车 - 年初至今,
GM % of NSR - ITD,GM % of NSR - ITD,GM % de NSR - ITD,NSR 的 GM 百分比 - ITD,
GM % of NSR - MTD,GM % of NSR - MTD,GM % de NSR - MTD,NSR 的 GM 百分比 - MTD,
GM % of NSR - YTD,GM % of NSR - YTD,GM % de NSR - YTD,NSR 的 GM 百分比 - 年初至今,
GM (MTD),GM (MTD),GM (MTD),通用汽车 (MTD),
GM / NSR,GM / NSR,GM / NSR,通用汽车/ NSR,
GM-YTD,GM-YTD,GM-YTD,通用-年初至今,
Go,Go,Aller,去,
Good,Good,Bien,好的,
Gps,Gps,GPS,全球定位系统,
GR - ITD,GR - ITD,GR-ITD,GR-ITD,
GR - MTD,GR - MTD,GR - MTD,GR-MTD,
GR - MTD (calculated),GR - MTD (calculated),GR - MTD (calculé),GR - MTD（计算）,
GR - MTD Impact,GR - MTD Impact,GR - Impact MTD,GR - MTD 影响,
GR - YTD,GR - YTD,GR - YTD,GR - 年初至今,
Graph,Graph,Graphique,图形,
greater_or_equal,Greater than or equals,Supérieur ou égal,大于或等于,
greater_than,Greater than,Plus grand que,比...更棒,
Gross margin - ITD,Gross margin - ITD,Marge brute - ITD,毛利率 - ITD,
Gross margin % of GSR - ITD,Gross margin % of GSR - ITD,Marge brute % de GSR - ITD,GSR 的毛利率百分比 - ITD,
Gross margin % of NSR - ITD,Gross margin % of NSR - ITD,Marge brute % de NSR - ITD,NSR 的毛利率百分比 - ITD,
Gross revenue - ITD,Gross revenue - ITD,Recettes brutes - ITD,总收入 - ITD,
GR-YTD,GR-YTD,GR-YTD,GR-YTD,
Help,Help,Aide,帮助,
Hours,Hours,Heures,小时,
HR assignments, HR assignments, Affectations HR,人力资源分配,
ID,ID,IDENTIFIANT,ID,
