KEY,ENGLISH,FRENCH,CHINESE,
ProjectListWidget_desc,"A single line summary of project data for all projects. The information tabs along the top of the table enable easy navigation between the different data views, which by default include a high-level summary, KPI’s, AR and unbilled, approved and forecast budgets, budget changes month to date, key financial data for month, year, and inception to date as well as project key members. You can customize the order of the data columns in each display view by dragging and dropping columns as you wish.","Résumé d’une seule ligne des données de projet pour tous les projets. Les onglets d’informations en haut du tableau permettent une navigation facile entre les différentes aperçus de données, qui incluent par défaut un résumé de haut niveau, des KPI, des comptes annuels et du non facturés, des budgets approuvés et prévisionnels, des modifications budgétaires mensuelles à ce jour, des données financières clés pour le mois, l’année et la création à ce jour, ainsi que les membres clés du projet. Vous pouvez personnaliser l’ordre des colonnes de données dans chaque aperçu d’affichage en modifiant l'ordre  des colonnes comme vous le souhaitez.",所有项目的项目数据的单行摘要。,
ProjectListWidget_title,Project single line summary,Résumé d'une seule ligne du projet,项目单行总结,
ProjNetReceivableWidget_desc,Net receivables,Créances nettes,净应收账款,
ProjNetReceivableWidget_title,Net receivables,Créances nettes,净应收账款,
ProjUnbilledARWidget_desc,"A rolling 12-month unbilled trend grouped by aging bucket.  This widget can help highlight areas of concern of accumulated work not billed to clients, or very old work not yet billed where action may need to be taken to understand the causes. Drill down for further detail to view project or invoice level data.","Une tendance evoluante sur 12 mois comptes débiteurs (AR) regroupés par fourchette d'âge.  Ce widget vous montre les données concernant le travail accumulé non facturé aux clients, ou le travail très ancien non encore facturé où des mesures doivent être mises en place pour comprendre les causes. des filtres vous permettent d'afficher plus de détail concernant les données au niveau du projet ou de la facture.",按老化桶分组的 12 个月未开票滚动趋势。,
ProjUnbilledARWidget_title,Aged unbilled trend,Evolution Age AR non-facturé,未开票趋势,
ProjWeekCostWidget_desc,Week cost widget,Widget de coût hebdomadaire,周成本小部件,
ProjWeekCostWidget_title,This week cost,Coût de cette semaine,本周费用,
remove widget,Are you sure you want to remove this widget?,Êtes-vous sûr de vouloir supprimer ce widget?,您确定要删除此小部件吗？,
Salary cost multiplier (SCM),Salary cost multiplier (SCM),Multiplicateur du coût salarial (SCM),工资成本乘数 (SCM),
Salary cost multiplier (SCM)_desc,Net service revenue - (Direct labor + Fringe),Chiffre d'affaires net des services - (Main d'oeuvre directe + Fringe),净服务收入 -（直接人工 + 边缘服务）,
Search any,Start typing here to search for,Commencez à taper ici pour rechercher,开始在此处输入以搜索,
Seeded view restored.,Seeded view restored successfully.,Aperçu prédéfinie a été restaurée avec succès.,种子视图已成功恢复。,
setup account,Please wait while we setup your account,Veuillez patienter pendant que nous configurons votre compte,我们正在设置您的帐户，请稍候,
SingleProjectListWidget_desc,Single line data export,Extract de données sur une seule ligne,单行数据导出,
SingleProjectListWidget_title,Single line data export,Extract de données sur une seule ligne,单行数据导出,
Subs cost,Subs cost,Coût des sous-traitants,订阅费用,
Subs cost_desc,Subcontractor and subconsultants cost,Coût des sous-traitants ,分包商和分包顾问费用,
Total costs,Total costs,Coûts totaux,总成本,
Total costs_desc,Fully burdened labor + Total other direct cost,Main-d'œuvre entièrement chargée + Total des autres coûts directs,完全负担的劳动力 + 其他直接成本总额,
Total other direct cost,Total other direct cost,Total des autres coûts directs,其他直接费用共计,
Total other direct cost_desc,Subs + Other direct costs + Contingency budget,Subs + Autres coûts directs + Budget pour contingence,替补 + 其他直接费用 + 应急预算,
TrendAnalysis_desc,"A rolling 12-month trend of the project budgets along with the ITD and MTD values for actual cost, margin and revenue.","Une tendance evoluante sur 12 mois des budgets du projet ainsi que les valeurs ITD et MTD pour les coûts à ce jour, la marge et les revenus.",项目预算的 12 个月滚动趋势以及实际成本、利润和收入的 ITD 和 MTD 值。,
TrendAnalysis_title,Trend analysis,Evolution de l'analyse,趋势分析,
UnbilledARWidget_desc,"A rolling 12-month unbilled trend grouped by aging bucket.  This widget can help highlight areas of concern of accumulated work not billed to clients, or very old work not yet billed where action may need to be taken to understand the causes. Drill down for further detail to view project or invoice level data.","Une tendance evoluante sur 12 mois du solde non-facturé regroupé par fourchette d'âge.  Ce widget vous montre les données concernant le travail accumulé non facturé aux clients, ou le travail très ancien non encore facturé où des mesures doivent être mises en place pour comprendre les causes. des filtres vous permettent d'afficher plus de détail concernant les données au niveau du projet ou de la facture.",按老化桶分组的 12 个月未开票滚动趋势。,
UnbilledARWidget_title,Aged unbilled trend,Evolution Age AR non-facturé,未开票趋势,
VendorInvoicesWidget_desc,Supplier invoices,Factures fournisseurs,供应商发票,
VendorInvoicesWidget_title,Supplier invoices,Factures fournisseurs,供应商发票,
View created.,View created successfully.,Aperçu créé avec succès.,视图创建成功。,
View deleted.,View deleted successfully.,Aperçu supprimé avec succès.,查看已成功删除。,
view description,Enter view description here,Mise à jour de la description de l'aperçu ici,在此处输入查看说明,
View duplicated.,View duplicated successfully.,Aperçu dupliqué avec succès.,查看复制成功。,
view name,Enter a name for this view here,Entrez un nom pour cet aperçu ici,在此输入此视图的名称,
WeekCostWidget_desc,Week cost widget,Widget de coût hebdomadaire,周成本小部件,
WeekCostWidget_title,This week cost,Coût de cette semaine,本周费用,
widget_settings_placeHolder_desc,A quick note for you to refer later,Une note rapide pour vous référer plus tard,供您稍后参考的快速说明,
widget_settings_placeHolder_name,"Eg,my widget","Par exemple, mon widget",例如，我的小部件,
